time,hour,day,weekday,Consumption,Production,Nuclear,Wind,Hydroelectric,Oil and Gas,Coal,Solar,Biomass
0,0,0,#Tuesday,6352,6527,1395,79,1383,1896,1744,0,30
1,1,0,#Tuesday,6116,5701,1393,96,1112,1429,1641,0,30
2,2,0,#Tuesday,5873,5676,1393,142,1030,1465,1616,0,30
3,3,0,#Tuesday,5682,5603,1397,191,972,1455,1558,0,30
4,4,0,#Tuesday,5557,5454,1393,159,960,1454,1458,0,30
5,5,0,#Tuesday,5525,5385,1395,91,958,1455,1456,0,30
6,6,0,#Tuesday,5513,5349,1392,98,938,1451,1440,0,31
7,7,0,#Tuesday,5524,5547,1392,93,1187,1446,1394,0,34
8,8,0,#Tuesday,5510,5471,1391,51,1325,1357,1303,8,34
9,9,0,#Tuesday,5617,5545,1388,15,1398,1328,1319,61,34
10,10,0,#Tuesday,5643,5610,1390,-5,1410,1331,1324,126,34
11,11,0,#Tuesday,5737,5733,1390,-17,1400,1428,1320,182,34
12,12,0,#Tuesday,5776,5816,1390,-10,1416,1423,1357,206,34
13,13,0,#Tuesday,5744,5823,1389,15,1308,1412,1461,202,34
14,14,0,#Tuesday,5710,5721,1390,100,1245,1408,1383,160,33
15,15,0,#Tuesday,5813,5804,1392,193,1348,1423,1327,85,34
16,16,0,#Tuesday,6009,5870,1392,304,1293,1435,1403,9,33
17,17,0,#Tuesday,6613,6242,1391,510,1453,1442,1411,0,35
18,18,0,#Tuesday,6718,6401,1391,754,1485,1448,1288,0,35
19,19,0,#Tuesday,6721,6488,1393,916,1549,1303,1292,0,34
20,20,0,#Tuesday,6632,6652,1394,1003,1588,1313,1320,0,33
21,21,0,#Tuesday,6441,6726,1390,1118,1518,1354,1312,0,34
22,22,0,#Tuesday,6222,6570,1391,1175,1389,1256,1323,0,34
23,23,0,#Tuesday,5936,6472,1390,1175,1196,1320,1359,0,33
24,0,1,#Wednesday,5647,6407,1391,1452,949,1297,1284,0,35
25,1,1,#Wednesday,5500,6036,1391,1668,662,1037,1243,0,35
26,2,1,#Wednesday,5385,6009,1392,1613,676,1036,1257,0,35
27,3,1,#Wednesday,5327,6062,1390,1823,534,1034,1246,0,35
28,4,1,#Wednesday,5362,5867,1390,1739,418,1021,1264,0,35
29,5,1,#Wednesday,5411,5878,1389,1592,499,1098,1265,0,35
30,6,1,#Wednesday,5510,5996,1388,1478,565,1258,1271,0,35
31,7,1,#Wednesday,5784,6300,1391,1357,925,1307,1285,0,36
32,8,1,#Wednesday,5999,6775,1390,1350,1181,1479,1331,7,36
33,9,1,#Wednesday,6322,6999,1389,1396,1339,1565,1205,66,37
34,10,1,#Wednesday,6576,7463,1392,1499,1342,1873,1157,163,35
35,11,1,#Wednesday,6619,7433,1391,1426,1470,1804,1079,227,36
36,12,1,#Wednesday,6595,7448,1392,1450,1297,1839,1188,244,36
37,13,1,#Wednesday,6537,7390,1392,1330,1324,1847,1186,273,37
38,14,1,#Wednesday,6438,7165,1392,947,1499,1851,1247,191,36
39,15,1,#Wednesday,6523,7087,1391,664,1527,1915,1459,94,37
40,16,1,#Wednesday,6800,7008,1391,594,1561,1957,1450,15,37
41,17,1,#Wednesday,7301,7116,1393,567,1709,1961,1449,0,37
42,18,1,#Wednesday,7432,7337,1395,454,1996,1969,1485,0,37
43,19,1,#Wednesday,7388,7256,1394,385,1941,1972,1527,0,36
44,20,1,#Wednesday,7344,7176,1393,317,1887,1976,1569,0,35
45,21,1,#Wednesday,7054,7100,1386,382,1808,1895,1594,0,35
46,22,1,#Wednesday,6610,7071,1389,476,1687,1886,1597,0,36
47,23,1,#Wednesday,6265,6718,1388,603,1269,1887,1537,0,34
48,0,2,#Thursday,5918,6571,1395,730,1169,1892,1351,0,35
49,1,2,#Thursday,5693,6245,1395,908,956,1646,1304,0,35
50,2,2,#Thursday,5544,6231,1394,1118,885,1509,1290,0,36
51,3,2,#Thursday,5539,6356,1395,1150,900,1536,1339,0,35
52,4,2,#Thursday,5684,6396,1395,981,956,1705,1323,0,35
53,5,2,#Thursday,5830,6437,1395,812,1013,1874,1307,0,36
54,6,2,#Thursday,6144,6142,1397,769,916,1754,1271,0,35
55,7,2,#Thursday,6725,6426,1394,635,1244,1851,1264,0,39
56,8,2,#Thursday,7446,7012,1395,664,1599,1755,1553,6,39
57,9,2,#Thursday,7780,7034,1393,581,1543,1879,1553,43,40
58,10,2,#Thursday,7987,7067,1352,293,1803,1878,1596,103,41
59,11,2,#Thursday,7994,7131,1351,188,1810,1870,1709,159,43
60,12,2,#Thursday,7966,7148,1354,179,1853,1854,1697,168,42
61,13,2,#Thursday,8025,7270,1365,187,1922,1872,1725,153,45
62,14,2,#Thursday,7892,7204,1347,331,1801,1922,1645,114,43
63,15,2,#Thursday,7873,7317,1347,470,1913,1860,1633,49,43
64,16,2,#Thursday,8026,7356,1310,593,1909,1863,1633,5,42
65,17,2,#Thursday,8474,7782,1305,672,2149,1916,1695,0,44
66,18,2,#Thursday,8514,8006,1342,1351,1728,1930,1611,0,43
67,19,2,#Thursday,8470,8261,1375,1790,1588,1887,1581,0,41
68,20,2,#Thursday,8214,8419,1371,2153,1546,1880,1427,0,41
69,21,2,#Thursday,7932,8477,1384,2293,1626,1883,1249,0,41
70,22,2,#Thursday,7454,8495,1390,2379,1548,1887,1249,0,41
71,23,2,#Thursday,6974,8071,1388,2516,1076,1829,1220,0,41
72,0,3,#Friday,6610,8023,1389,2620,982,1769,1221,0,40
73,1,3,#Friday,6406,7672,1394,2637,1000,1362,1236,0,42
74,2,3,#Friday,6372,7650,1398,2575,1055,1308,1270,0,42
75,3,3,#Friday,6237,7532,1395,2607,940,1297,1249,0,42
76,4,3,#Friday,6398,7690,1398,2672,1000,1305,1274,0,42
77,5,3,#Friday,6530,7782,1396,2715,1042,1308,1278,0,42
78,6,3,#Friday,6869,8063,1395,2704,1137,1333,1453,0,42
79,7,3,#Friday,7403,8269,1398,2637,1244,1429,1516,0,45
80,8,3,#Friday,7925,8713,1383,2508,1464,1705,1592,14,44
81,9,3,#Friday,8258,8858,1309,2436,1463,1899,1632,73,45
82,10,3,#Friday,8383,8956,1351,2422,1480,1902,1628,127,45
83,11,3,#Friday,8291,8876,1362,2469,1419,1899,1510,186,46
84,12,3,#Friday,8231,8738,1322,2533,1332,1890,1398,215,46
85,13,3,#Friday,8229,8544,1341,2514,1302,1828,1314,199,44
86,14,3,#Friday,8072,8342,1324,2257,1390,1843,1332,151,43
87,15,3,#Friday,8082,8120,1343,1839,1433,1897,1461,100,45
88,16,3,#Friday,8099,7876,1364,1515,1354,1898,1676,26,43
89,17,3,#Friday,8664,7909,1359,994,1850,1920,1740,1,44
90,18,3,#Friday,8729,7629,1382,629,1851,1989,1733,0,45
91,19,3,#Friday,8619,7516,1383,395,1887,2005,1804,0,42
92,20,3,#Friday,8343,7375,1383,344,1817,1998,1789,0,43
93,21,3,#Friday,8010,7367,1381,237,1902,2008,1795,0,43
94,22,3,#Friday,7417,7077,1382,143,1735,2003,1772,0,42
95,23,3,#Friday,7065,7147,1382,108,1805,2013,1796,0,41
96,0,4,#Saturday,6720,6832,1382,87,1586,1983,1750,0,41
97,1,4,#Saturday,6496,6333,1391,52,1138,1972,1740,0,41
98,2,4,#Saturday,6373,6228,1391,58,1082,1961,1693,0,42
99,3,4,#Saturday,6317,6229,1392,119,1028,1960,1688,0,42
100,4,4,#Saturday,6398,6292,1395,153,1136,1905,1661,0,41
101,5,4,#Saturday,6414,6292,1394,128,1152,1908,1668,0,41
102,6,4,#Saturday,6656,6367,1393,137,1189,1903,1702,0,42
103,7,4,#Saturday,6977,6364,1394,206,1134,1897,1688,0,44
104,8,4,#Saturday,7362,6250,1392,309,1146,1681,1650,27,44
105,9,4,#Saturday,7605,6540,1393,324,1101,1899,1627,149,44
106,10,4,#Saturday,7766,6804,1395,316,1204,1903,1647,296,43
107,11,4,#Saturday,7763,7009,1390,292,1277,1900,1700,407,43
108,12,4,#Saturday,7778,7083,1395,287,1268,1904,1738,447,42
109,13,4,#Saturday,7649,6981,1393,345,1164,1900,1719,416,42
110,14,4,#Saturday,7511,6884,1395,569,996,1895,1662,325,42
111,15,4,#Saturday,7567,6786,1395,601,1149,1904,1543,150,42
112,16,4,#Saturday,7904,6925,1394,581,1258,1918,1722,9,42
113,17,4,#Saturday,8408,7430,1395,821,1461,1984,1726,0,43
114,18,4,#Saturday,8525,7591,1395,1377,1319,1865,1592,0,43
115,19,4,#Saturday,8482,7557,1393,1591,1535,1562,1434,0,41
116,20,4,#Saturday,8226,7533,1393,1666,1429,1562,1441,0,40
117,21,4,#Saturday,7893,7298,1396,1632,1246,1560,1435,0,42
118,22,4,#Saturday,7341,7201,1394,1650,1083,1604,1429,0,41
119,23,4,#Saturday,6983,7260,1400,1807,1008,1628,1376,0,40
120,0,5,#Sunday,6665,7169,1399,1864,964,1511,1389,0,40
121,1,5,#Sunday,6441,6822,1395,1652,1011,1296,1429,0,39
122,2,5,#Sunday,6297,6798,1396,1485,1082,1333,1463,0,40
