time,hour,day,weekday,Consumption,Production,Nuclear,Wind,Hydroelectric,Oil and Gas,Coal,Solar,Biomass
52871,0,2209,#Saturday,6498,6976,1388,1373,1139,1833,1184,0,53
52872,1,2209,#Saturday,6269,6361,1385,1325,1039,1730,828,0,54
52873,2,2209,#Saturday,6162,6357,1386,1260,1038,1783,835,0,54
52874,3,2209,#Saturday,5984,6280,1388,1162,1041,1771,862,0,54
52875,4,2209,#Saturday,6096,6224,1387,1055,1051,1799,871,0,55
52876,5,2209,#Saturday,6195,5980,1387,941,1042,1671,880,0,56
52877,6,2209,#Saturday,6358,5897,1386,891,1050,1641,872,0,56
52878,7,2209,#Saturday,6732,6078,1388,878,1037,1779,926,0,55
52879,8,2209,#Saturday,7204,6075,1390,816,1042,1788,914,63,55
52880,9,2209,#Saturday,7276,6257,1388,694,1059,1820,962,272,56
52881,10,2209,#Saturday,7147,6357,1291,683,1054,1827,992,432,56
52882,11,2209,#Saturday,6978,6609,1365,826,1050,1827,969,506,54
52883,12,2209,#Saturday,6940,6801,1378,985,1042,1839,968,516,55
52884,13,2209,#Saturday,6855,6850,1389,1142,1039,1815,924,481,54
52885,14,2209,#Saturday,6871,6843,1386,1207,1046,1803,949,392,55
52886,15,2209,#Saturday,7035,6831,1386,1357,1062,1806,947,213,55
52887,16,2209,#Saturday,7401,6860,1389,1640,1053,1763,914,38,55
52888,17,2209,#Saturday,7968,7013,1388,1821,1046,1767,926,0,56
52889,18,2209,#Saturday,8022,7223,1388,1939,1147,1769,910,0,60
52890,23,2209,#Saturday,6327,7176,1388,1947,1101,1812,875,0,53
52891,0,2210,#Sunday,6155,7168,1386,1959,1080,1812,878,0,52
52892,1,2210,#Sunday,5931,7036,1387,1971,972,1813,841,0,51
52893,2,2210,#Sunday,5743,6934,1389,1882,971,1796,844,0,52
52894,3,2210,#Sunday,5643,6852,1387,1747,980,1811,855,0,52
52895,4,2210,#Sunday,5669,6770,1388,1656,988,1808,866,0,51
52896,5,2210,#Sunday,5746,6641,1388,1595,986,1797,821,0,53
52897,6,2210,#Sunday,5940,6453,1387,1504,992,1659,854,0,52
52898,7,2210,#Sunday,6066,6475,1388,1446,987,1670,930,0,52
52899,8,2210,#Sunday,6352,6452,1387,1385,987,1681,921,34,53
52900,9,2210,#Sunday,6298,6491,1390,1257,973,1668,923,221,54
52901,10,2210,#Sunday,6139,6491,1389,1009,1010,1690,929,394,51
52902,11,2210,#Sunday,5952,6440,1389,820,1016,1688,970,496,52
52903,12,2210,#Sunday,5870,6416,1386,733,1028,1712,959,530,53
52904,13,2210,#Sunday,5952,6278,1389,509,1139,1706,974,490,53
52905,14,2210,#Sunday,6028,6076,1388,383,1204,1695,955,394,53
52906,15,2210,#Sunday,6176,5867,1387,307,1194,1714,952,258,51
52907,16,2210,#Sunday,6600,5770,1382,298,1214,1745,982,93,50
52908,17,2210,#Sunday,7049,5730,1386,289,1177,1702,1104,6,54
52909,18,2210,#Sunday,7525,5856,1387,481,1260,1693,979,0,55
52910,19,2210,#Sunday,7451,6040,1388,657,1278,1684,978,0,54
52911,20,2210,#Sunday,7205,6075,1390,769,1248,1662,937,0,54
52912,21,2210,#Sunday,6835,5925,1385,787,1148,1613,914,0,54
52913,22,2210,#Sunday,6428,5742,1388,662,1101,1629,910,0,52
52914,23,2210,#Sunday,6108,5599,1390,493,1112,1672,880,0,52
52915,0,2211,#Monday,5791,5400,1384,318,1098,1669,878,0,52
52916,1,2211,#Monday,5599,5174,1382,191,1001,1663,884,0,51
52917,2,2211,#Monday,5519,5119,1380,135,998,1669,882,0,52
52918,3,2211,#Monday,5566,5059,1383,74,996,1672,882,0,50
52919,4,2211,#Monday,5719,5043,1385,36,1008,1678,886,0,52
52920,5,2211,#Monday,6079,5042,1380,11,1034,1670,892,0,54
52921,6,2211,#Monday,6716,5082,1382,1,1095,1670,879,0,55
52922,7,2211,#Monday,7642,5399,1386,-7,1318,1666,983,0,54
52923,8,2211,#Monday,8137,5658,1384,-7,1414,1762,1026,3,55
52924,9,2211,#Monday,8274,5913,1329,-2,1471,1748,977,307,55
52925,10,2211,#Monday,8024,5789,1325,10,1339,1649,951,457,52
52926,11,2211,#Monday,7605,5960,1365,20,1319,1667,963,568,52
52927,12,2211,#Monday,7529,6006,1356,6,1324,1656,1007,592,51
52928,13,2211,#Monday,7447,5891,1364,-2,1315,1627,1008,526,48
52929,14,2211,#Monday,7552,5761,1329,-7,1340,1595,1048,401,52
52930,15,2211,#Monday,7733,5665,1349,-11,1379,1624,1083,187,51
52931,16,2211,#Monday,8036,5660,1310,0,1382,1703,1173,26,52
52932,17,2211,#Monday,8551,5768,1325,-3,1455,1704,1220,0,54
52933,18,2211,#Monday,8580,5904,1356,-5,1528,1710,1236,0,54
52934,19,2211,#Monday,8491,5905,1371,-6,1566,1705,1188,0,55
52935,20,2211,#Monday,8230,5952,1377,23,1577,1713,1191,0,55
52936,21,2211,#Monday,7816,5878,1373,20,1544,1687,1189,0,55
52937,22,2211,#Monday,7148,5713,1373,59,1456,1617,1153,0,55
52938,23,2211,#Monday,6632,5420,1371,57,1205,1640,1091,0,54
52939,0,2212,#Tuesday,6326,5250,1372,17,1159,1682,966,0,54
52940,1,2212,#Tuesday,6158,5261,1374,-6,1175,1700,957,0,55
52941,2,2212,#Tuesday,6105,5244,1382,15,1163,1693,935,0,55
52942,3,2212,#Tuesday,6093,5163,1386,50,1047,1662,959,0,55
52943,4,2212,#Tuesday,6178,5130,1389,111,1044,1657,872,0,55
52944,5,2212,#Tuesday,6487,5294,1390,162,1060,1677,949,0,57
52945,6,2212,#Tuesday,6958,5341,1385,158,1116,1637,991,0,55
52946,7,2212,#Tuesday,7717,5669,1387,130,1249,1674,1163,0,58
52947,8,2212,#Tuesday,8571,5962,1392,82,1388,1763,1195,57,61
52948,9,2212,#Tuesday,8404,5933,1382,114,1374,1669,1157,162,60
52949,10,2212,#Tuesday,8396,5974,1350,138,1381,1662,1166,212,59
52950,11,2212,#Tuesday,8196,6044,1346,130,1340,1655,1187,324,58
52951,12,2212,#Tuesday,8008,5977,1355,153,1329,1618,1084,356,58
52952,13,2212,#Tuesday,8049,6057,1370,197,1344,1618,1092,370,62
52953,14,2212,#Tuesday,7984,6086,1337,228,1357,1641,1192,267,58
52954,15,2212,#Tuesday,7949,6127,1366,318,1382,1639,1183,178,57
52955,16,2212,#Tuesday,8013,6135,1371,498,1355,1620,1140,88,58
52956,17,2212,#Tuesday,8313,6170,1377,590,1341,1634,1157,2,60
52957,18,2212,#Tuesday,8536,6443,1380,657,1440,1692,1190,0,61
52958,19,2212,#Tuesday,8413,6474,1381,650,1484,1691,1195,0,60
52959,20,2212,#Tuesday,8338,6495,1383,615,1529,1705,1200,0,59
52960,21,2212,#Tuesday,7914,6383,1381,604,1495,1652,1192,0,57
52961,22,2212,#Tuesday,7283,6261,1384,555,1449,1642,1167,0,57
52962,23,2212,#Tuesday,6750,5861,1385,495,1187,1639,1093,0,56
52963,0,2213,#Wednesday,6427,5763,1386,451,1143,1627,1099,0,56
52964,1,2213,#Wednesday,6170,5629,1389,429,1028,1622,1100,0,57
52965,2,2213,#Wednesday,6038,5569,1389,363,1035,1621,1101,0,56
52966,3,2213,#Wednesday,6007,5461,1386,275,1016,1621,1096,0,58
52967,4,2213,#Wednesday,6023,5380,1389,189,1028,1622,1094,0,57
52968,5,2213,#Wednesday,6233,5394,1389,183,1049,1620,1097,0,55
52969,6,2213,#Wednesday,6825,5402,1390,179,1040,1618,1115,0,57
52970,7,2213,#Wednesday,7747,5672,1385,151,1296,1599,1173,0,56
