time,hour,day,weekday,Consumption,Production,Nuclear,Wind,Hydroelectric,Oil and Gas,Coal,Solar,Biomass
0,0,0,#Tuesday,6352,6527,1395,79,1383,1896,1744,0,30
27,3,1,#Wednesday,5327,6062,1390,1823,534,1034,1246,0,35
54,6,2,#Thursday,6144,6142,1397,769,916,1754,1271,0,35
81,9,3,#Friday,8258,8858,1309,2436,1463,1899,1632,73,45
108,12,4,#Saturday,7778,7083,1395,287,1268,1904,1738,447,42
135,15,5,#Sunday,7095,7442,1396,1646,980,1726,1603,34,53
162,18,6,#Monday,8992,8241,1383,2399,1317,1724,1361,0,56
189,21,7,#Tuesday,8677,8152,1393,870,1820,2038,1970,0,60
216,0,9,#Thursday,7229,8117,1389,1482,1023,1932,2231,0,58
243,3,10,#Friday,6891,6937,1391,358,1250,1571,2307,0,60
270,6,11,#Saturday,7007,7134,1390,700,983,1918,2085,0,57
298,10,12,#Sunday,7481,7056,1390,163,1080,2015,2202,148,57
325,13,13,#Monday,8798,8130,1353,1455,1249,1886,1847,279,60
352,16,14,#Tuesday,8683,7795,1391,1197,1137,2067,1893,44,65
379,19,15,#Wednesday,9097,7995,1383,1087,1644,2004,1822,0,55
406,22,16,#Thursday,7653,6924,1391,1294,983,1669,1527,0,60
433,1,18,#Saturday,6689,6724,1386,1290,845,1549,1594,0,58
460,4,19,#Sunday,6274,6229,1387,1218,792,1316,1460,0,56
487,7,20,#Monday,8195,7554,1385,1598,1469,1491,1554,0,57
514,10,21,#Tuesday,9156,7336,1327,182,1913,1906,1857,88,62
541,13,22,#Wednesday,8750,7773,1379,595,1816,1856,1912,156,57
569,17,23,#Thursday,8768,8465,1394,2109,1587,1658,1659,0,58
596,20,24,#Friday,8720,7861,1381,1644,1351,1776,1650,0,57
623,23,25,#Saturday,6911,6449,1389,418,1303,1392,1893,0,53
650,2,27,#Monday,6238,6392,1392,1399,859,1232,1457,0,53
677,5,28,#Tuesday,6956,7417,1396,768,1326,1879,1993,0,54
704,8,29,#Wednesday,8790,8098,1395,1221,1751,1731,1930,11,57
731,11,30,#Thursday,8978,7959,1352,697,2006,1817,1880,145,59
758,14,31,#Friday,8209,7584,1308,395,1919,1786,1690,424,59
785,17,32,#Saturday,7640,6863,1398,773,1631,1557,1450,0,54
812,20,33,#Sunday,7427,7261,1397,518,2169,1500,1621,0,55
840,0,35,#Tuesday,6583,7141,1384,1527,1292,1496,1393,0,49
867,3,36,#Wednesday,6342,6966,1396,892,1612,1692,1322,0,51
